Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","17,897.45","17,947.65","17,843.00","17,892.35","69.40","0.39","2,263.14","19,550.47","17,843.90","10,854.85","60.73","7.63"
"ASIANPAINT","3,330.00","3,505.00","3,320.85","3,471.30","150.65","4.54","20.13","694.48","3,505.00","1,907.75","78.33","13.96"
"BHARTIARTL","729.05","753.00","728.00","749.45","22.65","3.12","426.27","3,167.24","753.00","394.00","72.76","20.86"
"HCLTECH","1,340.00","1,377.75","1,337.00","1,367.65","39.35","2.96","52.00","708.63","1,377.75","784.00","68.00","18.63"
"GRASIM","1,615.00","1,658.00","1,615.00","1,645.20","38.35","2.39","14.39","236.32","1,658.00","675.50","129.01","12.67"
"MARUTI","6,850.00","7,037.80","6,848.00","7,005.10","158.40","2.31","13.52","933.83","8,329.00","6,270.15","7.75","2.97"
"M&M","759.50","778.80","752.55","773.15","14.70","1.94","29.27","225.17","952.05","567.50","26.21","-0.64"
"HDFCBANK","1,579.00","1,594.00","1,575.00","1,593.00","23.00","1.46","52.70","836.11","1,641.00","1,025.00","52.11","2.19"
"INFY","1,758.00","1,788.00","1,752.45","1,765.25","22.70","1.30","56.93","1,010.29","1,788.00","970.00","73.11","2.58"
"EICHERMOT","2,861.50","2,899.90","2,861.50","2,889.00","31.95","1.12","3.99","115.22","3,037.00","2,015.20","39.11","13.39"
"HDFC","2,818.60","2,847.95","2,800.00","2,846.00","28.60","1.02","13.44","378.60","2,896.00","1,623.00","70.72","5.75"
"WIPRO","680.50","699.15","677.30","681.20","6.90","1.02","94.22","649.45","699.15","302.45","116.36","7.52"
"BRITANNIA","4,040.00","4,098.95","4,030.00","4,077.95","35.60","0.88","1.60","65.08","4,153.00","3,317.30","12.50","6.97"
"ICICIBANK","722.60","724.60","716.55","721.95","4.95","0.69","64.40","464.12","734.80","333.75","105.19","3.96"
"BAJAJ-AUTO","3,800.00","3,849.10","3,795.15","3,817.45","18.25","0.48","2.56","97.67","4,361.40","2,822.45","27.84","2.76"
"POWERGRID","178.30","179.50","178.30","179.05","0.80","0.45","33.47","59.91","188.63","115.95","9.24","1.39"
"SBILIFE","1,219.00","1,238.55","1,207.60","1,223.25","4.95","0.41","12.23","150.14","1,253.65","755.25","46.85","5.42"
"TATAMOTORS","325.10","326.95","319.55","322.55","1.05","0.33","193.15","623.69","360.75","122.15","145.47","15.28"
"LT","1,780.00","1,810.00","1,765.85","1,774.95","5.25","0.30","26.59","475.70","1,810.00","843.00","106.25","10.53"
"TCS","3,890.00","3,944.40","3,855.00","3,879.50","10.25","0.26","18.68","731.82","3,981.75","2,302.60","57.23","7.37"
"HDFCLIFE","728.90","731.30","720.75","726.30","1.65","0.23","13.02","94.58","775.65","555.95","25.17","8.23"
"KOTAKBANK","2,030.00","2,052.35","2,013.90","2,028.60","4.60","0.23","14.99","304.48","2,052.35","1,230.60","59.06","18.99"
"RELIANCE","2,503.55","2,505.45","2,472.00","2,495.35","5.45","0.22","42.20","1,050.53","2,505.45","1,830.00","11.86","14.27"
"TECHM","1,530.00","1,547.85","1,512.75","1,524.00","2.50","0.16","25.95","398.12","1,547.85","747.55","92.17","4.14"
"NESTLEIND","19,927.00","19,980.00","19,800.00","19,847.00","8.00","0.04","0.23","45.07","20,609.15","15,130.00","29.16","0.34"
"BAJAJFINSV","18,599.95","18,813.00","18,317.40","18,510.00","6.15","0.03","2.65","492.35","18,813.00","5,400.00","227.80","12.44"
"UPL","728.00","731.90","724.25","726.40","-0.45","-0.06","6.05","44.02","864.70","399.00","36.44","-0.64"
"DRREDDY","4,806.00","4,821.10","4,781.10","4,794.50","-2.80","-0.06","1.43","68.87","5,614.60","4,135.00","-6.13","4.51"
"ADANIPORTS","756.00","764.90","748.25","753.65","-0.85","-0.11","30.16","228.06","901.00","312.10","132.18","8.38"
"CIPLA","969.60","983.40","962.55","963.70","-4.40","-0.45","12.69","123.39","997.00","706.50","25.58","5.02"
"HEROMOTOCO","2,850.00","2,862.30","2,829.55","2,838.35","-14.70","-0.52","3.39","96.47","3,629.05","2,636.00","-4.00","6.07"
"COALINDIA","168.10","169.45","165.55","166.45","-0.90","-0.54","87.70","146.64","170.00","109.55","37.51","22.21"
"BPCL","421.00","423.25","417.10","417.50","-2.45","-0.58","29.85","125.25","503.00","325.00","7.70","-8.52"
"SUNPHARMA","769.00","776.65","763.70","764.25","-5.60","-0.73","8.74","67.37","804.35","452.25","51.97","-0.92"
"TITAN","2,105.00","2,115.00","2,085.00","2,087.20","-17.85","-0.85","3.16","66.23","2,150.00","1,076.00","86.82","11.64"
"TATACONSUM","850.65","852.00","838.05","842.80","-7.85","-0.92","20.85","175.30","889.00","458.95","70.76","0.70"
"ONGC","138.90","139.90","135.95","136.40","-1.35","-0.98","257.51","355.98","139.90","64.10","101.63","20.49"
"ITC","244.00","244.00","237.70","240.10","-2.40","-0.99","162.71","392.04","245.80","163.35","39.19","16.70"
"DIVISLAB","5,235.35","5,254.00","5,131.70","5,158.20","-53.90","-1.03","2.06","107.14","5,271.65","2,985.00","63.88","6.07"
"INDUSINDBK","1,172.20","1,189.35","1,151.55","1,156.75","-12.40","-1.06","29.27","342.84","1,189.35","485.00","119.06","15.09"
"ULTRACEMCO","7,633.00","7,642.60","7,523.05","7,539.00","-80.70","-1.06","2.23","168.70","8,073.30","3,753.90","94.85","1.12"
"HINDALCO","481.00","485.65","475.80","477.80","-5.45","-1.13","56.35","270.48","488.00","154.40","188.79","13.53"
"IOC","118.00","118.95","116.45","116.65","-1.35","-1.14","44.65","52.52","119.45","71.65","53.59","10.15"
"AXISBANK","812.55","816.95","800.15","802.75","-9.40","-1.16","31.74","256.23","820.70","400.15","91.24","7.56"
"BAJFINANCE","7,949.85","7,949.85","7,784.00","7,802.10","-96.95","-1.23","6.70","525.19","7,999.00","3,006.90","140.52","11.78"
"NTPC","126.50","126.70","124.45","124.60","-1.60","-1.27","43.71","54.76","127.00","78.10","46.42","9.35"
"HINDUNILVR","2,770.10","2,780.00","2,740.00","2,747.00","-35.30","-1.27","9.41","259.41","2,859.30","2,024.75","33.83","4.33"
"SBIN","451.10","451.90","442.65","443.65","-6.15","-1.37","63.88","284.64","471.90","175.50","141.38","6.24"
"SHREECEM","29,999.00","30,036.35","29,279.05","29,391.70","-527.55","-1.76","0.20","57.77","32,048.00","18,183.55","55.09","12.04"
"TATASTEEL","1,320.00","1,324.00","1,274.40","1,282.50","-36.20","-2.75","75.23","975.05","1,534.50","342.75","254.97","-8.70"
"JSWSTEEL","677.25","679.00","656.00","658.30","-18.95","-2.80","44.89","297.52","776.50","257.55","145.45","-4.82"

